Date,Weekly_Sales,Moving_Avg_4W
2010-02-26,43970440.65,47584004.765
2010-03-05,46872715.16,46864464.56
2010-03-12,45926841.32,46261974.864999995
2010-03-19,44989431.42,45439857.1375
2010-03-26,44134583.5,45480892.849999994
2010-04-02,50424232.22,46368772.114999995
2010-04-09,47365466.31,46728428.3625
2010-04-16,45183702.69,46776996.17999999
2010-04-23,44734552.03,46926988.3125
2010-04-30,43706044.18,45247441.3025
2010-05-07,48503424.39,45531930.8225
2010-05-14,45330146.41,45568541.7525
2010-05-21,45120250.64,45664966.405
2010-05-28,47757773.63,46677898.7675
2010-06-04,50188767.6,47099234.57
2010-06-11,47826673.98,47723366.462500006
2010-06-18,47622191.19,48348851.599999994
2010-06-25,46609279.67,48061728.11
2010-07-02,48917953.47,47744024.5775
2010-07-09,47899738.27,47762290.65
2010-07-16,46243964.08,47417733.8725
2010-07-23,44889146.07,46987700.4725
2010-07-30,44631854.44,45916175.715
2010-08-06,48205253.28,45992554.4675
2010-08-13,46464427.88,46047670.417500004
2010-08-20,47061664.12,46590799.93000001
2010-08-27,45910212.69,46910389.49250001
2010-09-03,47194854.46,46657789.787499994
2010-09-10,45635418.66,46450537.482499994
2010-09-17,43081750.91,45455559.18
2010-09-24,41359671.97,44317923.99999999
2010-10-01,42240037.61,43079219.7875
2010-10-08,45108084.83,42947386.33
2010-10-15,43151409.44,42964800.9625
2010-10-22,43066757.33,43391572.3025
2010-10-29,43603288.95,43732385.137499996
2010-11-05,45782283.73,43900934.8625
2010-11-12,46124900.63,44644307.660000004
2010-11-19,45126774.34,45159311.9125
2010-11-26,65821216.26,50713793.74
2010-12-03,49910639.7,51745882.7325
2010-12-10,55667840.03,54131617.582499996
2010-12-17,61821317.85,58305253.46
2010-12-24,80931586.2,62082845.945
2010-12-31,40434740.42,59713871.125
2011-01-07,42776317.46,56490990.4825
2011-01-14,40673850.98,51204123.765
2011-01-21,40654860.31,41134942.292500004
2011-01-28,39600376.5,40926351.3125
2011-02-04,46153610.74,41770674.6325
2011-02-11,47336816.9,43436416.1125
2011-02-18,48716194.66,45451749.7
2011-02-25,44126019.85,46583160.5375
2011-03-04,46980864.59,46789974.0
2011-03-11,44628496.3,46112893.85
2011-03-18,44872646.25,45152006.7475
2011-03-25,42878001.0,44840002.035
2011-04-01,43459828.12,43959742.9175
2011-04-08,45888090.49,44274641.465
2011-04-15,44974193.91,44300028.38
2011-04-22,48676782.6,45749723.78
2011-04-29,43530206.49,45767318.3725
2011-05-06,46862068.62,46010812.905
2011-05-13,45446375.35,46128858.265
2011-05-20,44046950.89,44971400.3375
2011-05-27,45293673.35,45412267.052499995
2011-06-03,48772105.36,45889776.2375
2011-06-10,47669913.72,46445660.83
2011-06-17,47447755.54,47295861.9925
2011-06-24,45885189.93,47443741.1375
2011-07-01,47580673.79,47145883.245
2011-07-08,47859714.06,47193333.33
2011-07-15,45516616.88,46710548.66500001
2011-07-22,45274519.37,46557881.025
2011-07-29,43683474.98,45583581.322500005
2011-08-05,48016880.04,45622872.8175
2011-08-12,46249873.18,45806186.8925
2011-08-19,46917761.66,46216997.465
2011-08-26,47417097.58,47150403.114999995
2011-09-02,45381078.94,46491452.839999996
2011-09-09,46763760.42,46619924.650000006
2011-09-16,43794071.65,45839002.14749999
2011-09-23,42719131.48,44664510.6225
2011-09-30,42197389.67,43868588.305
2011-10-07,47212027.93,43980655.1825
2011-10-14,44375338.95,44125972.0075
2011-10-21,45819680.12,44901109.167500004
2011-10-28,45856004.32,45815762.83
2011-11-04,48655867.81,46176722.800000004
2011-11-11,48474277.53,47201457.445
2011-11-18,46439392.44,47356385.525000006
2011-11-25,66593835.85,52540843.4075
2011-12-02,49390609.94,52724528.94
2011-12-09,55561557.73,54496348.989999995
2011-12-16,60086723.16,57908181.669999994
2011-12-23,76999773.57,60509666.099999994
2011-12-30,46044300.91,59673088.842499994
2012-01-06,44955766.39,57021641.00749999
2012-01-13,42023513.51,52505838.595
2012-01-20,42082070.32,43776412.7825
2012-01-27,39835117.15,42224116.8425
2012-02-03,46085809.81,42506627.6975
2012-02-10,50010196.6,44503298.47
2012-02-17,50197325.48,46532112.260000005
2012-02-24,45771879.72,48016302.9025
2012-03-02,46861342.89,48210186.1725
2012-03-09,47482677.99,47578306.519999996
2012-03-16,46902365.23,46754566.457499996
2012-03-23,44994361.91,46560187.004999995
2012-03-30,45273064.44,46163117.3925
2012-04-06,53502476.06,47668066.91
2012-04-13,46629682.72,47599896.2825
2012-04-20,45073217.62,47619610.21
2012-04-27,43717315.31,47230672.9275
2012-05-04,47124459.51,45636168.79
2012-05-11,46926829.21,45710455.4125
2012-05-18,46824854.84,46148364.7175
2012-05-25,47892949.14,47192273.175
2012-06-01,48281966.93,47481650.03
2012-06-08,49651327.57,48162774.620000005
2012-06-15,48412578.62,48559705.565
2012-06-22,47668384.18,48503564.325
2012-06-29,46597343.31,48082408.42
2012-07-06,51253625.62,48482982.932500005
2012-07-13,46100396.02,47904937.2825
2012-07-20,46059876.27,47502810.305
2012-07-27,44097388.27,46877821.545
2012-08-03,47486123.19,45935945.9375
2012-08-10,47403826.18,46261803.47750001
2012-08-17,47355393.13,46585682.6925
2012-08-24,47449420.62,47423690.78
2012-08-31,47159931.47,47342142.85
2012-09-07,48330449.03,47573798.5625
2012-09-14,44226897.92,46791674.76
2012-09-21,44354937.08,46018053.875
2012-09-28,43735713.56,45161999.3975
2012-10-05,47567053.49,44971150.5125
2012-10-12,46128909.98,45446653.5275
2012-10-19,45122443.96,45638530.2475
2012-10-26,45544379.53,46090696.739999995
