Date,Weekly_Sales,Moving_Avg_4W
2010-02-26,43970440.65,47584004.765
2010-03-05,46872715.16,46864464.56
2010-03-12,45926841.32,46261974.865
2010-03-19,44989431.42,45439857.1375
2010-03-26,44134583.5,45480892.85
2010-04-02,50424232.22,46368772.115
2010-04-09,47365466.31,46728428.3625
2010-04-16,45183702.69,46776996.17999999
2010-04-23,44734552.03,46926988.3125
2010-04-30,43706044.18,45247441.3025
2010-05-07,48503424.39,45531930.8225
2010-05-14,45330146.41,45568541.7525
2010-05-21,45120250.64,45664966.405
2010-05-28,47757773.63,46677898.7675
2010-06-04,50188767.6,47099234.57
2010-06-11,47826673.98,47723366.462500006
2010-06-18,47622191.19,48348851.6
2010-06-25,46609279.67,48061728.11
2010-07-02,48917953.47,47744024.5775
2010-07-09,47899738.27,47762290.65
2010-07-16,46243964.08,47417733.8725
2010-07-23,44889146.07,46987700.4725
2010-07-30,44631854.44,45916175.715
2010-08-06,48205253.28,45992554.4675
2010-08-13,46464427.88,46047670.4175
2010-08-20,47061664.12,46590799.93000001
2010-08-27,45910212.69,46910389.49250001
2010-09-03,47194854.46,46657789.7875
2010-09-10,45635418.66,46450537.4825
2010-09-17,43081750.91,45455559.18
2010-09-24,41359671.97,44317923.99999999
2010-10-01,42240037.61,43079219.7875
2010-10-08,45108084.83,42947386.33
2010-10-15,43151409.44,42964800.9625
2010-10-22,43066757.33,43391572.3025
2010-10-29,43603288.95,43732385.1375
2010-11-05,45782283.73,43900934.8625
2010-11-12,46124900.63,44644307.66
2010-11-19,45126774.34,45159311.9125
2010-11-26,65821216.26,50713793.74
2010-12-03,49910639.7,51745882.7325
2010-12-10,55667840.03,54131617.5825
2010-12-17,61821317.85,58305253.46
2010-12-24,80931586.2,62082845.945
2010-12-31,40434740.42,59713871.125
2011-01-07,42776317.46,56490990.4825
2011-01-14,40673850.98,51204123.765
2011-01-21,40654860.31,41134942.2925
2011-01-28,39600376.5,40926351.3125
2011-02-04,46153610.74,41770674.6325
2011-02-11,47336816.9,43436416.1125
2011-02-18,48716194.66,45451749.7
2011-02-25,44126019.85,46583160.5375
2011-03-04,46980864.59,46789974.0
2011-03-11,44628496.3,46112893.85
2011-03-18,44872646.25,45152006.7475
2011-03-25,42878001.0,44840002.035
2011-04-01,43459828.12,43959742.9175
2011-04-08,45888090.49,44274641.465
2011-04-15,44974193.91,44300028.38
2011-04-22,48676782.6,45749723.78
2011-04-29,43530206.49,45767318.3725
2011-05-06,46862068.62,46010812.905
2011-05-13,45446375.35,46128858.265
2011-05-20,44046950.89,44971400.3375
2011-05-27,45293673.35,45412267.0525
2011-06-03,48772105.36,45889776.2375
2011-06-10,47669913.72,46445660.83
2011-06-17,47447755.54,47295861.9925
2011-06-24,45885189.93,47443741.1375
2011-07-01,47580673.79,47145883.245
2011-07-08,47859714.06,47193333.33
2011-07-15,45516616.88,46710548.66500001
2011-07-22,45274519.37,46557881.025
2011-07-29,43683474.98,45583581.322500005
2011-08-05,48016880.04,45622872.8175
2011-08-12,46249873.18,45806186.8925
2011-08-19,46917761.66,46216997.465
2011-08-26,47417097.58,47150403.115
2011-09-02,45381078.94,46491452.84
2011-09-09,46763760.42,46619924.650000006
2011-09-16,43794071.65,45839002.14749999
2011-09-23,42719131.48,44664510.6225
2011-09-30,42197389.67,43868588.305
2011-10-07,47212027.93,43980655.1825
2011-10-14,44375338.95,44125972.0075
2011-10-21,45819680.12,44901109.1675
2011-10-28,45856004.32,45815762.83
2011-11-04,48655867.81,46176722.8
2011-11-11,48474277.53,47201457.445
2011-11-18,46439392.44,47356385.525000006
2011-11-25,66593835.85,52540843.4075
2011-12-02,49390609.94,52724528.94
2011-12-09,55561557.73,54496348.99
2011-12-16,60086723.16,57908181.67
2011-12-23,76999773.57,60509666.1
2011-12-30,46044300.91,59673088.8425
2012-01-06,44955766.39,57021641.00749999
2012-01-13,42023513.51,52505838.595
2012-01-20,42082070.32,43776412.7825
2012-01-27,39835117.15,42224116.8425
2012-02-03,46085809.81,42506627.6975
2012-02-10,50010196.6,44503298.47
2012-02-17,50197325.48,46532112.260000005
2012-02-24,45771879.72,48016302.9025
2012-03-02,46861342.89,48210186.1725
2012-03-09,47482677.99,47578306.52
2012-03-16,46902365.23,46754566.4575
2012-03-23,44994361.91,46560187.005
2012-03-30,45273064.44,46163117.3925
2012-04-06,53502476.06,47668066.91
2012-04-13,46629682.72,47599896.2825
